id,c_sti,c_raj,t_sti,name,name_raj
619,2210,17,6,КРАСИЛIВСЬКА ОБ'ЄДНАНА ДПI (ТЕОФIПОЛЬСЬКЕ ВIД-НЯ),ТЕОФIПОЛЬСЬКИЙ Р-Н
620,2218,18,6,ХМЕЛЬНИЦЬКА ОДПI ГУ МIНДОХОДIВ У ХМЕЛЬНИЦЬКIЙ ОБЛАСТI,ХМЕЛЬНИЦЬКИЙ Р-Н
621,2205,19,6,ГОРОДОЦЬКА ОБ'ЄДНАНА ДПI (ЧЕМЕРОВЕЦЬКЕ ВIДДIЛЕННЯ),ЧЕМЕРОВЕЦЬКИЙ Р-Н
622,2214,2,6,СЛАВУТСЬКА ОБ'ЄДНАНА ДПI (БIЛОГIРСЬКЕ ВIД-НЯ),БIЛОГIРСЬКИЙ Р-Н
623,2220,20,6,ШЕПЕТIВСЬКА ОДПI ГУ МIНДОХОДIВ У ХМЕЛЬНИЦЬКIЙ ОБЛАСТI,ШЕПЕТIВСЬКИЙ Р-Н
624,2205,21,6,ГОРОДОЦЬКА ОБ'ЄДНАНА ДПI (ЯРМОЛИНЕЦЬКЕ ВIДДIЛЕННЯ),ЯРМОЛИНЕЦЬКИЙ Р-Н
625,2209,22,6,КАМ'ЯНЕЦЬ-ПОДIЛЬСЬКА ОДПI (М.КАМ'ЯНЕЦЬ-ПОДIЛЬСЬКИЙ),М.КАМ'ЯНЕЦЬ-ПОДIЛЬСЬКИЙ
626,2214,23,6,СЛАВУТСЬКА ОБ'ЄДНАНА ДПI (НЕТIШИНСЬКЕ ВIД-НЯ),М.НЕТIШИН
627,2214,24,6,СЛАВУТСЬКА ОБ'ЄДНАНА ДПI (М.СЛАВУТА),М.СЛАВУТА
628,2225,25,2,ДПI У М.ХМЕЛЬНИЦЬКОМУ,М.ХМЕЛЬНИЦЬКИЙ
629,2220,26,6,ШЕПЕТIВСЬКА ОБ'ЄДНАНА ДПI (М.ШЕПЕТIВКА),М.ШЕПЕТIВКА
630,2207,3,6,ДУНАЄВЕЦЬКА ОБ'ЄДНАНА ДПI (ВIНЬКОВЕЦЬКЕ ВIДДIЛЕНЯ),ВIНЬКОВЕЦЬКИЙ РАЙОН
631,2210,30,6,КРАСИЛIВСЬКА ОДПI (СТАРОКОНСТЯНТИНIВСЬКЕ В-НЯ) МIСТО,М.СТАРОКОСТЯНТИНIВ
632,2218,4,6,ХМЕЛЬНИЦЬКА ОДПI ГУ МIНДОХОДIВ (ВОЛОЧИСЬКЕ ВIД-НЯ),ВОЛОЧИСЬКИЙ Р-Н
633,2205,5,6,ГОРОДОЦЬКА ОБ'ЄДНАНА ДПI,ГОРОДОЦЬКИЙ Р-Н
634,2218,6,6,ХМЕЛЬНИЦЬКА ОДПI ГУ МIНДОХОДIВ (ДЕРАЖНЯНСЬКЕ ВIД-НЯ),ДЕРАЖНЯНСЬКИЙ Р-Н
635,2207,7,6,ДУНАЄВЕЦЬКА ОБ'ЄДНАНА ДПI,ДУНАЄВЕЦЬКИЙ РАЙОН
636,2299,70,14,ХМЕЛЬНИЦЬКА МИТНИЦЯ МIНДОХОДIВ,М.ХМЕЛЬНИЦЬКИЙ
637,2214,8,6,СЛАВУТСЬКА ОБ'ЄДНАНА ДПI (IЗЯСЛАВСЬКЕ ВIД-НЯ),IЗЯСЛАВСЬКИЙ Р-Н
638,2209,9,6,КАМ'ЯНЕЦЬ-ПОДIЛЬСЬКА ОБ'ЄДНАНА ДПI,КАМ'ЯНЕЦЬ-ПОДIЛЬСЬКИЙ Р-Н
639,2248,97,12,ОПЕРАТИВНЕ УПРАВЛIННЯ ГУ МIНДОХОДIВ У ХМЕЛЬНИЦЬКIЙ ОБЛ,ХМЕЛЬНИЦЬКА ОБЛАСТЬ
640,2249,98,10,РУ ДЕПАРТАМЕНТУ САТ ДПА УКРАЇНИ В ХМЕЛЬН. ОБЛ.,ХМЕЛЬНИЦЬКА ОБЛАСТЬ
641,2300,0,1,ГУ ДФС У ЧЕРКАСЬКIЙ ОБЛАСТI,ЧЕРКАСЬКА ОБЛАСТЬ
642,2301,1,2,ДПI У М.ЧЕРКАСАХ ГУ МIНДОХОДIВ У ЧЕРКАСЬКIЙ ОБЛАСТI,М.ЧЕРКАСИ
643,2313,10,6,ЗОЛОТОНIСЬКА ОБ'ЄДНАНА ДПI (ДРАБIВСЬКЕ ВIДДIЛЕННЯ),ДРАБIВСЬКИЙ Р-Н
644,2305,11,6,УМАНСЬКА ОБ'ЄДНАНА ДПI (ЖАШКIВСЬКЕ ВIДДIЛЕННЯ),ЖАШКIВСЬКИЙ Р-Н
645,2312,12,6,ЗВЕНИГОРОДСЬКА ОДПI ГУ МIНДОХОДIВ У ЧЕРКАСЬКIЙ ОБЛАСТI,ЗВЕНИГОРОДСЬКИЙ Р-Н
646,2313,13,6,ЗОЛОТОНIСЬКА ОДПI ГУ МIНДОХОДIВ У ЧЕРКАСЬКIЙ ОБЛАСТI,ЗОЛОТОНIСЬКИЙ Р-Н
647,2314,14,6,КОРСУНЬ-ШЕВЧЕНКIВСЬКА ОДПI ГУ МIНДОХОДIВ У ЧЕРКАСЬКIЙ,КОРСУНЬ-ШЕВЧЕНКIВСЬКИЙ Р-Н
648,2314,15,6,КОРСУНЬ-ШЕВЧЕНКIВСЬКА  ОДПI (КАНIВСЬКЕ ВIДДIЛЕННЯ),КАНIВСЬКИЙ Р-Н
649,2316,16,6,КАМ'ЯНСЬКА ОДПI ГУ МIНДОХОДIВ У ЧЕРКАСЬКIЙ ОБЛАСТI,КАМ'ЯНСЬКИЙ Р-Н
650,2312,17,6,ЗВЕНИГОРОДСЬКА ОДПI (КАТЕРИНОПIЛЬСЬКЕ  ВIДДIЛЕННЯ),КАТЕРИНОПIЛЬСЬКИЙ Р-Н
651,2312,18,6,ЗВЕНИГОРОДСЬКА ОБ'ЄДНАНА ДПI (ЛИСЯНСЬКЕ ВIДДIЛЕННЯ),ЛИСЯНСЬКИЙ Р-Н
652,2322,19,6,ТАЛЬНIВСЬКА ОБ'ЄДНАНА ДПI (МАНЬКIВСЬКЕ ВIДДIЛЕННЯ),МАНЬКIВСЬКИЙ Р-Н
653,2301,2,2,ДПI У МIС.ЧЕРКАСИ,ПРИДНIПРОВСЬКИЙ Р-Н М.ЧЕРКАСИ
654,2324,20,6,ХРИСТИНIВСЬКА ОДПI (МОНАСТИРИЩЕНСЬКЕ ВIДДIЛЕННЯ),МОНАСТЕРИЩЕНСЬКИЙ Р-Н
655,2304,21,6,СМIЛЯНСЬКА ОДПI ГУ МIНДОХОДIВ У ЧЕРКАСЬКIЙ ОБЛАСТI,СМIЛЯНСЬКИЙ Р-Н
656,2322,22,6,ТАЛЬНIВСЬКА ОДПI ГУ МIНДОХОДIВ У ЧЕРКАСЬКIЙ ОБЛАСТI,ТАЛЬНIВСЬКИЙ Р-Н
657,2305,23,6,УМАНСЬКА ОДПI ГУ МIНДОХОДIВ У ЧЕРКАСЬКIЙ ОБЛАСТI,УМАНСЬКИЙ Р-Н
658,2324,24,6,ХРИСТИНIВСЬКА ОДПI ГУ МIНДОХОДIВ У ЧЕРКАСЬКIЙ ОБЛАСТI,ХРИСТИНIВСЬКИЙ Р-Н
659,2325,25,2,ДПI У ЧЕРКАСЬКОМУ РАЙОНI ГУ МIНДОХОДIВ У ЧЕРКАСЬКIЙ ОБ,ЧЕРКАСЬКИЙ Р-Н
660,2313,26,6,ЗОЛОТОНIСЬКА ОБ'ЄДНАНА ДПI (ЧОРНОБАЇВСЬКЕ ВIДДIЛЕННЯ),ЧОРНОБАЇВСЬКИЙ Р-Н
661,2316,27,6,КАМ'ЯНСЬКА ОБ'ЄДНАНА ДПI (ЧИГИРИНСЬКЕ ВIДДIЛЕННЯ),ЧИГИРИНСЬКИЙ Р-Н
662,2304,28,6,СМIЛЯНСЬКА ОБ'ЄДНАНА ДПI (ШПОЛЯНСЬКЕ ВIДДIЛЕННЯ),ШПОЛЯНСЬКИЙ Р-Н
663,2301,3,2,ДПI У МIС.ЧЕРКАСИ,СОСНIВСЬКИЙ Р-Н М.ЧЕРКАСИ
664,2304,4,6,СМIЛЯНСЬКА ОДПI ГУ МIНДОХОДIВ У ЧЕРКАСЬКIЙ ОБЛАСТI,М.СМIЛА
665,2305,5,6,УМАНСЬКА ОДПI ГУ МIНДОХОДIВ У ЧЕРКАСЬКIЙ ОБЛАСТI,М.УМАНЬ
666,2314,6,6,КОРСУНЬ-ШЕВЧЕНКIВСЬКА  ОДПI (КАНIВСЬКЕ ВIДДIЛЕННЯ),М.КАНIВ
667,2312,7,6,ЗВЕНИГОРОДСЬКА ОБ'ЄДНАНА ДПI (ВАТУТIНСЬКЕ ВIДДIЛЕННЯ),М.ВАТУТIНЕ
668,2399,70,14,ЧЕРКАСЬКА МИТНИЦЯ ДФС,М.ЧЕРКАСИ
669,2313,8,6,ЗОЛОТОНIСЬКА ОДПI ГУ МIНДОХОДIВ У ЧЕРКАСЬКIЙ ОБЛАСТI,М.ЗОЛОТОНОША
670,2314,9,6,КОРСУНЬ-ШЕВЧЕНКIВСЬКА ОДПI (ГОРОДИЩЕНСЬКЕ ВIДДIЛЕННЯ),ГОРОДИЩЕНСЬКИЙ Р-Н
671,2348,97,12,УПРАВЛIННЯ ПОДАТКОВОЇ МIЛIЦIЇ У ЧЕРКАСЬКIЙ ОБЛАСТI,ЧЕРКАСЬКА ОБЛАСТЬ
672,2349,98,10,РУ ДЕПАРТАМЕНТУ САТ ДПС УКРАЇНИ У ЧЕРКАСЬКIЙ ОБЛАСТI,ЧЕРКАСЬКА ОБЛАСТЬ
673,2401,1,2,ДПI У ВИЖНИЦЬКОМУ Р-НI ГУ МIНДОХОДIВ У ЧЕРНIВ. ОБЛ.,ВИЖНИЦЬКИЙ Р-Н
674,2410,10,2,ДПI У СТОРОЖИНЕЦЬКОМУ Р-НI ГУ МIНДОХ. У ЧЕРНIВ. ОБЛ.,СТОРОЖИНЕЦЬКИЙ Р-Н
675,2411,11,6,ХОТИНСЬКА ОДПI ГУ МIНДОХОДIВ У ЧЕРНIВ. ОБЛ.,ХОТИНСЬКИЙ Р-Н
676,2412,12,2,ДПI У М.ЧЕРНIВЦЯХ ГУ МIНДОХОДIВ У ЧЕРНIВЕЦЬКIЙ ОБЛ.,М.ЧЕРНIВЦI
677,2413,13,1,ГУ МIНДОХОДIВ У ЧЕРНIВЕЦЬКIЙ ОБЛАСТI,ЧЕРНIВЕЦЬКА ОБЛАСТЬ
678,2407,2,6,ГЕРЦАЇВСЬКЕ ВIДД. НОВОС. OДПI ГУ МIНДОХ. У ЧЕРНIВ.ОБЛ.,ГЕРЦАЇВСЬКИЙ Р-Н
679,2403,3,2,ДПI У ГЛИБОЦЬКОМУ Р-НI ГУ МIНДОХОДIВ У ЧЕРНIВ. ОБЛ.,ГЛИБОЦЬКИЙ Р-Н
680,2406,4,6,ЗАСТАВНIВСЬКЕ ВIДД. КIЦМ. OДПI ГУ МIНДОХ. У ЧЕРН. ОБЛ.,ЗАСТАВНIВСЬКИЙ Р-Н
